title,complete,date_completed
1-2-Switch,FALSE,
Axiom Verge,TRUE,9/11/16
Bastion,TRUE,9/28/18
Bayonetta,TRUE,4/1/10
Bayonetta 2,TRUE,10/28/14
Beat 'Em Up Bundle,FALSE,
Blaster Master Zero,TRUE,5/10/17
Blazblue Cross Tag Battle,FALSE,
Blazing Star,FALSE,
Bloodstained Curse of the Moon,TRUE,5/25/18
Bomb Chicken,FALSE,
Cave Story+,TRUE,6/1/2010
Crawl,FALSE,
Dark Souls,FALSE,
Dead Cells,FALSE,
Diablo III,FALSE,
Donkey Kong Country Tropical Freeze,TRUE,5/22/18
Dragon Quest 11,FALSE,
Dragon Quest Builders,TRUE,3/3/18
Dragonball FighterZ,FALSE,
Enter the Gungeon,FALSE,
Fallout Shelter,FALSE,
Fire Emblem Warriors,TRUE,10/26/17
Flint Hook,FALSE,
Fortnite,FALSE,
Furi,FALSE,
God of War 4,FALSE,
Golf Story,FALSE,
Gonner,FALSE,
Guacamelee,TRUE,8/19/14
Guacamelee 2,TRUE,12/31/18
Hollow Knight,TRUE,7/15/18
Hyrule Warriors,TRUE,10/3/14
Ikaruga,FALSE,
Into the Breach,FALSE,
Just Shapes & Beats,FALSE,
King of Fighters 2002,FALSE,
Kirby Star Allies,TRUE,2/27/18
Labo,FALSE,
Lightening Force,FALSE,
Lost Sphear,FALSE,
Lumines,FALSE,
Mario & Luigi: Superstar Saga,TRUE,7/8/18
Mario Kart 8 Deluxe,TRUE,7/19/14
Mario Odyssey,TRUE,10/28/17
Mario Tennis Aces,FALSE,
Megaman 11,FALSE,
Megaman 11 Demo,TRUE,9/6/18
Megaman Legacy Collection,TRUE,5/27/18
Megaman Legacy Collection 2,TRUE,7/9/18
Megaman X Legacy Collection,FALSE,
Mighty Gunvolt Burst,TRUE,8/10/17
Minecraft,FALSE,
Minit,TRUE,1/2/19
Monster Hunter Generations,FALSE,
Monster Hunter World,FALSE,
Mortal Kombat XL,FALSE,
N++,FALSE,
Night in the Woods,TRUE,7/1/18
Nintendo Entertainment System,FALSE,
Octopath Traveler,FALSE,
Okami,TRUE,3/1/07
Owlboy,FALSE,
Phantasy Star,TRUE,12/23/2018
Pocket Rumble,FALSE,
Pokemon Quest,FALSE,
"Pokemon: Let's Go, Pikachu!",FALSE,
R-Type Dimensions EX,FALSE,
Rayman Legends,TRUE,9/9/13
Retro City Rampage DX,TRUE,8/14/17
Runner 3,FALSE,
Sega Genesis Classics,FALSE,
Shantae: Half-Genie Hero,TRUE,8/23/17
Shovel Knight,TRUE,7/5/14
Sine Mora EX,TRUE,5/28/18
Skyrim,FALSE,
Slime-San,FALSE,
Snipperclips,FALSE,
Sonic Mania,TRUE,8/15/17
Sonic the Hedgehog,TRUE,11/1/1993
Space Dave!,FALSE,
Splatoon 2,TRUE,7/30/17
Street Fighter 30th Anniversary Collection,FALSE,
Super Smash Bros Ultimate,FALSE,
Sushi Striker,FALSE,
The Flame in the Flood,FALSE,
The King of Fighters '98,FALSE,
The Messenger,TRUE,9/18/18
Tiny Barbarian,FALSE,
Valkyria Chronicles 4,FALSE,
Velocity 2X,TRUE,9/11/14
Warframe,FALSE,
Whip! Whip!,FALSE,
Wolfenstein II: The New Colussus,FALSE,
Xenoblade Chronicles 2,TRUE,1/15/18
Yoku's Island Express,TRUE,8/26/18